id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32696884,Classic Bostonian Arboretum Condo,14075816,Mary & Chuck,,Jamaica Plain,42.29913,-71.11445,Entire home/apt,135,91,7,2019-10-14,0.33,1,0
32723746,Charming Art Filled Victorian w/Gorgeous Bath,43118173,Alys,,Dorchester,42.30439,-71.06524,Private room,65,1,14,2020-10-03,0.65,1,179
32762186,Stunning South End 1BR - private roofdeck,555290,Matthew,,South End,42.34053,-71.08027,Entire home/apt,103,3,91,2021-01-14,3.97,1,113
32764882,Beautiful Beacon Hill Home - Amazing Location!,2006852,Jay,,West End,42.36127,-71.06758,Entire home/apt,140,1,60,2020-12-19,2.62,3,113
32826985,"SeaClusion- Queen, Harbour VIew",92691757,Melissa,,Charlestown,42.37002,-71.06102,Private room,292,1,9,2019-10-22,0.44,2,185
32831946,Welcoming Private Studio for One!  5-44,244600805,Bay Village,,Bay Village,42.34788,-71.07103,Private room,43,2,19,2020-12-24,1.00,20,99
32835031,"Boston Studio, Ready For Long & Short Stays 210",205269848,Temple Place,,Downtown,42.35456,-71.06132,Private room,80,2,25,2020-11-24,1.30,17,212
32835033,Studio Ready 4 Students & Traveling Professionals  305,205269848,Temple Place,,Beacon Hill,42.35608,-71.06325,Private room,81,2,22,2019-12-23,1.11,17,224
32861018,"Location A++, Sleeps 3 1-31",244600805,Bay Village,,South End,42.34732,-71.0708,Entire home/apt,65,2,27,2021-01-13,1.35,20,0
32861021,Prices/Location CANNOT Be Beat! 5-B1,244600805,Bay Village,,Bay Village,42.34891,-71.07093,Entire home/apt,84,2,48,2020-10-30,2.27,20,68
32861080,Private Studio in Boston's Bay Village! 5-22,244600805,Bay Village,,Bay Village,42.34937,-71.07022,Entire home/apt,84,2,43,2020-04-01,1.91,20,88
32861086,Modern Single Studio at the Heart of Boston! 1-24,244600805,Bay Village,,Bay Village,42.34792,-71.06829,Private room,43,2,27,2020-01-22,1.24,20,99
32861088,"Location A++, Sleeps 3 143-23",244600805,Bay Village,,Bay Village,42.34886,-71.0703,Entire home/apt,69,2,77,2020-12-20,3.53,20,0
32890952,Quiet Comfort in Boston - Large 2 Bed,147256535,Jan,,Roslindale,42.27815,-71.14066,Entire home/apt,109,31,3,2019-12-21,0.14,2,354
32894516,★ The Elephant Room | Close to Subway + Downtown ★,102027626,Romo & Nayeli,,Dorchester,42.28929,-71.0675,Private room,69,2,48,2020-08-16,2.28,6,340
32895915,★ The Map Room | Close to Subway + Downtown ★,102027626,Romo & Nayeli,,Dorchester,42.2885,-71.06752,Private room,69,2,33,2020-10-29,1.57,6,340
32915410,1 bedroom apartment in South End,247641760,Enia,,Roxbury,42.33619,-71.08445,Entire home/apt,75,91,72,2019-11-30,3.20,7,365
32940171,Alaska Street R44,216849347,Jeana,,Roxbury,42.32095,-71.07978,Private room,60,2,12,2020-11-29,0.59,3,65
33013194,"Bright, cozy bedroom (Freedom Trail)",248463000,John,,Roxbury,42.32232,-71.06847,Private room,30,1,108,2021-01-07,4.89,4,131
33016886,En suite w/ King bed (Boston Common),248463000,John,,Roxbury,42.32342,-71.06924,Private room,35,1,111,2021-01-18,5.21,4,81
33017230,Large bedroom w/ king size bed (Boston Tea Party),248463000,John,,Roxbury,42.32313,-71.06867,Private room,55,1,70,2020-09-07,3.17,4,83
33038623,DOWNTOWN BOSTON / UMASS JFK/ PRIVATE BEDROOM,248657295,Shahnaz,,Dorchester,42.31275,-71.05729,Private room,75,91,5,2019-11-03,0.23,8,270
33158116,Large Sunny room w/ King bed (Boston Harbor Room),248463000,John,,Roxbury,42.32299,-71.06999,Private room,30,1,107,2021-01-11,4.85,4,91
33162602,Comfort Inn in my home 2nd bedroom,227190555,Janet,,Roxbury,42.31465,-71.07497,Private room,75,1,13,2020-03-01,0.60,2,90
