total_listings,latitude,longitude,accommodates,bathrooms,bedrooms,num_of_beds,min_nights,max_nights,avail_next_30_days,avail_next_60_days,avail_next_90_days,avail_next_365_days,num_of_reviews,avg_review_score,accuracy_score,cleanliness_score,checkin_score,communication_score,location_score,value_score,years_hosting
1,52.360479999999995,4.92685,2,1.0,1.0,1.0,3,30,0,0,0,0,46,95.0,9.0,9.0,9.0,10.0,9.0,9.0,8.88
1,52.37393,4.89355,2,1.5,3.0,2.0,3,14,0,0,0,0,31,99.0,10.0,10.0,10.0,10.0,10.0,10.0,8.77
16,52.3816,4.87211,4,1.0,1.0,1.0,2,12,0,0,0,0,193,93.0,9.0,10.0,10.0,10.0,9.0,9.0,9.55
1,52.370740000000005,4.89435,2,1.0,1.0,1.0,2,60,0,0,0,0,149,98.0,10.0,9.0,10.0,10.0,10.0,9.0,8.76
1,52.36975,4.86026,2,1.0,1.0,1.0,3,30,0,0,0,0,28,95.0,10.0,9.0,10.0,10.0,9.0,9.0,8.75
1,52.35409,4.91289,2,1.0,1.0,1.0,2,1125,0,0,0,0,19,97.0,10.0,9.0,10.0,10.0,10.0,9.0,8.74
2,52.39134,4.89067,2,1.5,1.0,1.0,2,14,30,54,73,331,438,94.0,10.0,9.0,10.0,10.0,9.0,9.0,9.26
1,52.34932,4.83133,2,1.0,0.0,1.0,2,14,0,0,0,0,38,98.0,10.0,10.0,10.0,10.0,9.0,10.0,8.74
1,52.37066,4.86025,4,1.5,3.0,3.0,3,100,0,0,0,0,54,97.0,10.0,10.0,10.0,10.0,9.0,10.0,8.74
1,52.37594,4.8501,5,1.0,2.0,4.0,2,14,0,0,0,0,96,88.0,8.0,8.0,9.0,10.0,9.0,9.0,8.73
1,52.3526,4.84468,4,1.5,2.0,2.0,3,15,30,60,90,365,16,91.0,9.0,9.0,10.0,10.0,9.0,9.0,8.74
1,52.36159,4.8766300000000005,2,1.5,1.0,1.0,1,31,0,20,50,50,31,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.72
1,52.38303,4.87512,2,1.0,1.0,1.0,5,1125,27,57,87,87,23,97.0,10.0,10.0,10.0,10.0,10.0,10.0,8.71
1,52.353640000000006,4.87824,5,1.0,3.0,3.0,5,22,0,0,0,0,11,96.0,10.0,9.0,10.0,10.0,9.0,10.0,8.71
2,52.364020000000004,4.887580000000001,4,1.0,3.0,5.0,3,30,30,60,90,365,60,94.0,10.0,9.0,10.0,10.0,10.0,9.0,9.05
2,52.355,4.87611,3,1.0,2.0,3.0,3,21,30,60,90,365,127,99.0,10.0,10.0,10.0,10.0,10.0,10.0,8.7
3,52.3848,4.87726,2,1.0,1.0,1.0,6,15,0,0,0,0,94,97.0,10.0,9.0,10.0,10.0,10.0,9.0,8.7
8,52.37958,4.8945099999999995,7,3.5,5.0,8.0,7,1124,0,27,57,139,110,97.0,10.0,9.0,10.0,10.0,10.0,9.0,8.95
2,52.35502,4.9351199999999995,2,1.0,1.0,1.0,5,60,0,0,0,0,6,100.0,10.0,10.0,9.0,9.0,9.0,10.0,8.69
1,52.3955,4.99576,4,1.5,1.0,2.0,2,20,30,60,90,365,2,100.0,10.0,10.0,10.0,10.0,8.0,8.0,8.69
